song,year,artist,lyrics
grief-hammer,2007,darkness,"oh, yeah
grief, yes, it's grief hammer time, hammer
grief, yeah, it's grief hammer time
diy now, commission my erection
tool for hire, manual love
rigger boots and dungarees and a grimace
grief, yes, it's grief hammer time, hammer
grief, yeah, it's grief hammer time
it's a hard job, but someones gotta do it
jack of all trades, master of none
i'm a heavy metal hammer god, let it fly
grief, yes, it's grief hammer time, hammer
grief, yeah, it's grief hammer time
hammer time, hammer, hammer, hammer
hammer, hammer time, ooh, it's grief hammer time
yeah, it's grief hammer time
grief"
out-of-my-hands,2007,darkness,"girl, gonna take a little time
to assess my frame of mind
''cause i've got hopes to re-align
should i depart for cloudless climes?
''cause i approach things emotionally
or at least i try
so fair thee well baby
if this should be our last goodbye
yeah, yeah, yeah, yeah
in matters such as these
your feelings cannot be denied
''cause every other avenue will lead to pain
in matters such as these
i let my heart decide
it's out of my hands again
girl, don't want to be unkind
but there's a piece i've yet to find
so should i stand
and watch my fate unwind
or turn my back
and leave it all behind
''cause i approach things emotionally
or at least i try
so fair thee well baby
if this should be our last goodbye
yeah, yeah, yeah, yeah
in matters such as these
your feelings cannot be denied
''cause every other avenue will lead to pain
in matters such as these
i let my heart decide
it's out of my hands again"
planning-permission,2007,darkness,"i'm a man with two good hands, two good hands and a plot of land
and i'm on a mission, i've got a vision and a planning permission
i've got twenty-thousand bricks to lay
honey i don't have a place to stay
i've just got this canvas tent and a machine to
mix the cement
you think i've lost the plot
i have not!
i've sheltered you from the rain
you and i will defy the elements again!
i need a home in which to revel
i need a place to keep my spirit level
and i know the right guys
cause i used to work in building supplies
cramped in a humble abode
concrete and steel by the wheelbarrow load
fittings to choose, colour charts to peruse
i've got a trowel and i ain't afraid to use it!
you think i've lost the plot
i have not!
i've sheltered you from the rain
you and i will defy the elements again!"
hazel-eyes,2005,darkness,"i hail from the flatland's of east anglia
a town that once could boast prosperity
she had trekked for many moons from a land afar
but the cruel nets had emptied the northern sea
and she said ""hoots, i cannae get back tae
me hoos in bonny scotland""
girl with the hazel eyes, ah!
girl with the hazel eyes, ah!
the elements had taken their toll on her
her face was weather beaten and her hair greasy
i had never seen a set of eyes more hazelerer
and a tear did fall as she looked up at me
and she said ""hoots, i cannae get back tae
me hoos in bonny scotland""
girl with the hazel eyes, ah!
girl with the hazel eyes, ah!
i shall travel with thee
for to see your folks in scotland
with their blessing, on one knee
i shall ask for your left hand
girl with the hazel eyes, ah!
girl with the hazel eyes, ah!
girl with the hazel eyes, ah!
girl with the hazel eyes, ah!
i shall travel with thee
for to see your folks in scotland
with their blessing, on one knee
i shall ask for your left hand"
blind-man,2005,darkness,"tell me why the blind man cries
oh, he sheds a tear because he just can't hear the children singing
how he used to fantasize
of standing next to some children who are doing singing
ah!
and the shoulders get colder and colder
and his tears
and his tears fall on deaf ears
ooh!
falling apart
at the seams and no-one seems to care
you can't cry forever
eileen wouldn't want you to, i swear
now he's just an empty shell
oh, since eileen died the other side seems so appealing
compared to this living hell
oh, she haunts his sleep, his wounds too deep for any healing
ah!
with his arteries starting to harden
she is gone
she is gone and it's all wrong
falling apart
at the seams and no-one seems to care
you can't cry forever
eileen would want you to, i swear
so there."
is-it-just-me,2005,darkness,"i know that absence might
make the heart grow fonder
or is it 'out of sight'
out of mind' i wonder
and do you yearn for me
when the nights grow cold
'til death us do part
to have and to hold
i wanna give you my love, my love, my love!
but is it just me or am i all on my own again?
you're up at john o groats, i'm down in land's end
on you i depend!
i see your face when i close my eyes,
and there ain't no place
like between your thighs
don't want a life alone
all by myself
to honor and trust
in sickness and health
i wanna give you my love, my love, my love!
but is it just me or am i all on my own again?
you're in the taj mahal, i'm outside big ben
it's driving me round the bend!
forever and ever
and ever, amen
i wanna give you my love, my love, my love,
is it just me or am i all on my own again?
is it just me or am i all on my own again?
you're in the vatican, i'm in the yemen
and it feels like the end,
the end!"
concrete,2012,darkness,"i walk alone like a concrete lion
in the concrete wilderness
somewhere deep in the concrete jungle
is a concrete lioness
looking for love
in every single thing i see
looking for love
but love ain't looking for me
surrounded by millions of people
that i hope i never have to meet
searching for a sweet lady woman
to share a little body heat
looking for love
concrete
carry your egg like a concrete penguin
a concrete emperor
a concrete man in the concrete tundra
concrete antarctica
looking for love
i'm tired of playing the concrete field
looking for love
i've got to keep my concrete eyeballs peeled
surrounded by millions of people
that i hope i never have to meet
searching for a sweet lady woman
to share a little body heat
looking for love
concrete
surrounded by millions of people
that i hope i never have to meet
searching for a sweet lady woman
to share a little body heat
looking for love
concrete"
nothin-s-gonna-stop-us,2012,darkness,"i am no messenger
but i will give you message
a message...of death
when you're cycling through the city at night
and you're dodging these apartment lines
i've got my fingers greasy
and you didn't care
i was fixing your shame
while you were fixing your hair
rolling my tie back
and walking on air
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
fixing your hair
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
across the beach
let's have a party there
cause it doesn't matter where we are
oh when you're the stunt peg
and i'm in the chair
i was pulling a wheely
you were pulling my hair
they'll never catch us
cause we're catching air
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
fixing your hair
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
fixing your hair
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us
nothing's gonna stop us
nothing's gonna stop us now
nothing's gonna stop us"
i-can-t-believe-it-s-not-love,2012,darkness,"angel, on a wing and a prayer, we made it
its got to mean something, inside me says
we were brought together
by the universes forces that you can not find
completely irresistible, entirely right
youre incandescent like a star in the sky at night
o-o-oh
cant believe its not love were making
i must have been mistaken
cant believe its not love were making
im startled, im shaken
its soft to the touching and its sweet on the tongue
and now, im gonna need a second oinion
o-o-oh
angel, on a wing and a prayer, we made it
its got to mean something, inside me says
we were brought together
by the universes forces that you can not find
completely irresistible, entirely right
youre incandescent like a star in the sky at night
o-o-oh
cant believe its not love were making
i must have been mistaken
cant believe its not love were making
im startled, im shaken
its soft to the touching and its sweet on the tongue
and now, im gonna need a second oinion
o-o-oh"
she-just-a-girl-eddie,2012,darkness,"that girl has gone and broken your heart
like pulling the wings off a fly
come on eddie, don't fall apart
plenty more birds in the sky
but your sky is black
the ocean's rising and you can't hold it back
she just a girl, eddie
i know it feels like the end of the world
but she just a girl, eddie
there are four billion other girls
who wanna make love to you
she's not an angel sent down from above
she's just a hand that you hold
she doesn't love you when push comes to shove
that warm fuzzy feeling has gone cold
feels like you're dead inside
you've got a broken heart and wounded pride
she just a girl, eddie
i know it feels like the end of the world
but she just a girl, eddie
there are four billion other girls
who wanna make love to you
and me
you're not the first, eddie
way back in caveman times
sabre toothed cave ladies chewed up and spat out our hearts"
i-belive-in-a-thing-colled-love,2006,darkness,"can't explain all the feelings that you're making me feel
my heart's in overdrive and you're behind the steering wheel
touching you, touching me
touching you, ohh your touchin blue
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh!
i wanna kiss you every minute, every hour, every day
you got me in a spin but everything is a.ok!
touching you, touching me
touching you, ohh your touchin blue
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh! guitar!
touching you, touching me
touching you, ohh your touchin blue
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh!"
something-s-coming-over-me,2011,darkness,"how can i explain this feeling?
something's coming over me
could it be that all the birds
are singing to me?
wonderful to know this feeling
wondering what it could be
seems to me that all the world
knows something's coming over me
hard to conceive
but i do believe
it's what i've been dreaming of
could it possibly
be happening to me?
it's gotta be love
funny, what a lovely feeling
this is turning out to be
i took one look and i have to agree
it's plain to see
that something's coming over me"
love-on-the-rocks-with-no-ice,2003,darkness,"you can't abide my showing fatigue
when you come home just to relay
all the events that made your heart bleed
and the ones that ruined your day
we're not as close
as everybody thinks
in the eye of the storm
we keep each other warm
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice
so many issues we should address
'cause our lives just don't correlate
all the emotions that we suppress
bite our tongues until it's too late
we're not as close
as we always used to be - you and me
in the eye of the storm
we keep each other warm
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice
love on the rocks
you'd do anything for a quiet life
love on the rocks
love on the rocks with no ice"
holding-my-own,2003,darkness,"baby, everything has fallen into place
my life is so exciting now i've got my space
like a splash of water on my face
lately i'm doing what i can do to pleasure me
i'm finding time to focus on my fantasies
i'm satisfied in my own company
i don't need your permission
to take this matter in my own two hands
'cause i'm holding my own
give or take a tear or two
i'm holding my own
no matter what i put myself through
lady, all we seem to do is talk about
we take apart and analyze our ins and outs
honey, i would rather do without
no-one to answer to
i won't spend another lifetime begging you
'cause i'm holding my own
give or take a tear or two
i'm holding my own
no matter what i put myself through
i'm holding my own
there's a spring in my stride
there's a twinkle in my dying eyes
'cause i'm holding my own
give or take a tear or two
i'm holding my own
no matter what i put myself through"
i-believe-in-a-thing-called-love,2003,darkness,"can't explain all the feelings that you're making me feel
my heart's in overdrive and you're behind the steering wheel
touching you, touching me
touching you god you're touching me
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh!
i want to kiss you every minute, every hour, every day
you got me in a spin but everything is a.o.k!
touching you, touching me
touching you god you're touching me
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh!
touching you, touching me
touching you god you're touching me
i believe in a thing called love
just listen to the rhythm of my heart
there's a chance we could make it now
we'll be rocking 'til the sun goes down
i believe in a thing called love
ooh!"
wheels-of-the-machine,2015,darkness,"one cog connected to another
we are depending on each other
can't make a love like this alone
all of our destinies await us
somewhere within the apparatus
if we never let each other down
they cannot deflate us
oh, we're more lost than we've ever been
oh, in the wheels of the machine
oh, someone get me out of here
before i cry my eyes out again my dear
desire burning like a fever
too scared to operate the lever
you tell me it hurts, well i believe you
'cause i'm hurting too
trying to be a man, take a care-a
the love of my life, her name is sarah
because i promised a world like this, only fairer.
oh, we're more lost than we've ever been
oh, in the wheels of the machine
oh, someone get me out of here
before i cry my eyes out again my dear
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine
in the wheels, wheels of the machine"
open-fire,2015,darkness,"don't waste my time with changes
i'm living my life left
every semblance of hope in his life
surrenders to this pain
so i embrace the darkness
'cause it's always there
give me an open fire
blazes in your eyes
burns right through the night 
i could live nocturnally
i could live without daylight 
give me a hug on a sheepskin rug
tell me that we'll never part 
open fire, on my heart
the world's got a dark side
every day it turns
but the sun only shines occasionally and when it does it burns
i am not a enlightened
everybody knows
give me an open fire
blazes in your eyes
burns right through the night 
i could live nocturnally
i could live without daylight 
give me a hug on a sheepskin rug
tell me that we'll never part 
open fire, on my heart "
last-of-our-kind,2015,darkness,"we have sat like this just waiting for their arrows to blacken the skies
many times before and we will again god willing
i am honoured to have served alongside men who inspire defiance
sometimes i tired from the fighting and the killing
we are survivors
the ones left behind
the last of our legacy
the last of our kind
children
we are the last of our kind
children
we are the last of our kind
when the arrows fall like rain
we'll survive and rise again
we are the last of our kind
all the jackals and the undead just can't wait to wipe the last of us out
once there were others like us then there were none
late at night whilst the world is sleeping i can hear the call of my kin
they wait for me and when i join them we will be forgotten
we are survivors
the ones left behind
the last of our legacy
the last of our kind
children
we are the last of our kind
children
we are the last of our kind
when the arrows fall like rain
we'll survive and rise again
we are the last of our kind
children
we are the last of our kind
children
we are the last of our kind
when the arrows fall like rain
we'll survive and rise again
we are the last of our kind"
hammer-tongs,2015,darkness,"there's a fire
in the city it's burning
it's out of control
my oh my
there's a fire
in the city
i give you my heart and my soul
make me cry
give me a chance and i'll take it
show me some love and we'll make it
baby we're right where we belong
and we're going at it, hammer
hammer and tongs
baby we're right where we belong
and we're going at it, hammer
hammer and tongs
hammer and tongs
now the sun rises over the city the stars are all gone
bye bye
the pavement is burning my feet but the fire rages on
you and i
i gotta say this is a great night
don't even know by the daylight
'cause baby we're right where we belong
and we're going at it, hammer
hammer and tongs
oh yeah
n baby we're right where we belong
and we're going at it, hammer
hammer and tongs
hammer and tongs
hammer and tongs
there's a fire
in the city
out of control
out of control
oh woah oh woah
baby we're right where we belong
and we're going at it, hammer
hammer and tongs
oh woahhhhhhh
baby we're right where we belong
and we're going at it, hammer
hammer and tongs
baby we're right where we belong
o hammer and tongs
hammer and tongs
oh woah oh woah
baby we're right where we belong
and we're going at it, hammer
hammer and tongs
hammer and tongs"
conquerors,2015,darkness,"i don't even want to know your name
after what happened last night
no, i don't wanna know your name
i don't wanna know the name of this game
don't wanna play this game
after what happened last night
a diamond is only
some coal that's stuck to it's job
and it's getting so lonely
we were always gonna be the conquerors
we were never gonna sail back home again
the tide is so strong
so keep holding on
sympathy is dangerous
in the wrong hands
in the wrong light
on a warm summer night
sympathy is dangerous
in the wrong heart
in the wrong place
at the wrong time
a jewel is only
some coal that's stuck to it's job
and it's getting so lonely
we were always gonna be the conquerors
we were never gonna sail back home again
the tide is so strong
so keep holding on
i diamond is only
some coal that's stuck to it's job
and it's getting so lonely
we were always gonna be the conquerors
we were never gonna sail back home again
the tide is so strong
so keep holding on
we were always gonna be the conquerors
we were always gonna conquer
we were always gonna be the conquerors
we were always gonna be the conquerors
the tide is so strong
so keep holding on"
pugilistic-burn-postures,2007,the-county-medical-examiners,"carbonized extremities cooked and charred
burst organs jellified simmering in boiling lard
smoking slab of blackened burnt meat
scent of immolation, sickeningly sweet...
horrifying corpses posed by flame
muscles constricted, melted, and maimed
postures assumed from the singing heat
posthumous pugilistic athletes...
muscle fiber twisted, gnarled, and hard
scorched arms in a feeble boxer's guard
superheated flesh chips excoriate and flake
from this repulsive side of cooked human steak...
hardened skin dulls my blades
incandescent embers stoke this flambe
tangled remains of this funeral pyre
increase morgue temperature and make me perspire..."
y-shaped-thoracoabdominalincision,2007,the-county-medical-examiners,"...alphabetic diagram...
...of the gross exam...
medical examiners are detectives, who forensically
sift through a body of evidence
it's rarely simple, as you can see...the organs are on
the inside
we open up the corpse to find the clues that point to
an explanation that might make sense
let's crack the cadaver open for a little peek and
document what we find...
...with scalpel in hand...
...i hatch the plan...
whether man, woman, child-the procedure is always the
same
beginning the medicolegal autopsy isn't very hard
the thoracoabdominal incision is the name of this
turgidly morbid game
and the letter ""y"" is the shape that we must carve...
all me's worth their salt keep a blade of their own
and have their scalpel professionally sharpened,
polished, and honed
because of its ability to cut through skin, meat,
gristle, and bone
we keep track of it from the opening of the corpse to
when it is sewn...
...i must confess...
...this will make a mess...
...the stiff is ripe and putrefied...
...i scalpel the mephitic skin...
...and trace the letter ""y""...
...so the autopsy begins...
in order to field dress this cadaver we cut from the
bottom of the neck to above the crotch
some pathologists prefer to first puncture the bloated
corpse to release built-up methane gas
simply grasp the scalpel and apply downward pressure
at the jugular notch
you'll find the skin will slice like butter, revealing
subcutaneous tissue and ballooning yellow fat...
...no time to flinch...
...only amateurs cringe...
draw the blade down over the body of the sternum and
breastplate
past the manubrium and xiphoid process and
costoxiphoid ligament group
split the rectus abdominal muscle without a measure of
haste
then stop and wipe your brow and take a moment to
recoup...
peel back the flayed skin and shear it from the muscle
sides
taking the retractors, spread the carcass wide
costal cartilage snaps from each of the ribs so we may
look inside
the inner organs sit on display-glistening-with
nothing to hide...
...you've earned your degree...
...in the art of necropsy...
...the stiff is ripe and putrefied...
...i scalpel the mephitic skin...
...and trace the letter ""y""...
...so the autopsy begins..."
vegas-moon,2007,ghost-machine,"lately the winds of change are telling me to go

some where beyond where i have been

no tiny victory will save me from myself

my patience coming to and end cause they're all the same
its never ending how the road it seems to wind
no matter how hard i try to escape
red mooner vegas sets on some poor suckers grave

i say its better them then me

i tried maunuvering through all the emptiness

but i can't fight what i cant see, cause im not the same
its never ending how the road it seems to wind
no matter how hard i try to escape
we're all descending its the blind leading the blind
some times i wish that i could change but im not the same
i'm not the same they're all the same i'm not the same
no
its never ending how the road it seems to wind
no matter how hard i try to escape
we're all descending its th eblind leading the blind
some times i wish that i could change but im not the same
i'm not the same"
burning-bridges,2007,ghost-machine,"its been a long dark road but i remember when it meant the world ot me,
its been a long dark day and a cold black night and it still gets hard to see,
cause they don't know me and they never will,
its been a long dark road i still remember why it took so much out of me,
its a shallow pond we're swimming in and it makes it hard to breath,
cause they don't know me and they never will
no they don't know why or how it feels to live
its been a long dark road and i remember skies that weren't so a hard to see,
its been a long dark day and i remember nights that made me, me
cause they don't know me and they never will
and they don't know why or how it feels to live"
siesta-loca,2007,ghost-machine,"i think i'd be better off alone
locked away inside a room without any doors
is this really what i was meant to be
is this really all there is for me
someone tell me that theres something more then this
could i be better off asleep
the small hand slowly ticks a way
reminding me again that its just a passing phase
a cigarette to calm my nerves
anything to pass the time and passify the hurt
someone wake me when this is over
someone tell me when this is over
someone wake me when this is over
someone wake me when this is over"
lonely-as-a-stranger,2013,galneryus,"i will take good aim at the target
it is you
give myself up to pleasure
i don't rue
i wander about in search of new game at tonight
it's you
give yourself up to pleasure
you don't rue
buy time!
i can drive a hard bargain
let's talk about suffering and love
don't say ""bye""
come out!
what beautiful eyes you have!
it's a sin
don't look down
i don't tell a lie
were you deceived many times?
can't believe the world
wander lonely as a stranger
yes! it's time!
can you hear my true words?
let's hope for the best now
time will surely solve a problem
don't follow the herd
i surely heal your heart and i receive all of you
i found you by chance and i fastened my eyes on you tonight
i can feel something special
hold me tight
how's tricks?
why do you look so sad?
let's talk about suffering and love
don't say ""no""
come quick!
what a beautiful voice you have!
it's a sin
don't look down
i do not go slow
were you betrayed many times?
you can't believe anything
wander lonely as a stranger
yes! it's time!
can you feel my true mind?
let's hope for the best now
i will surely solve a problem
it's all in the mind
i surely heal your heart and i receive all of you
were you deceived many times?
can't believe the world
wander lonely as a stranger
yes! it's time!
can you hear my true words?
let's hope for the best now
time will surely solve a problem
don't follow the herd
were you betrayed many times?
you can't believe anything
wander lonely as a stranger
yes! it's time!
can you feel my true mind?
let's hope for the best now
i will surely solve a problem
it's all in the mind
i surely heal your heart and i receive all of you"
the-promised-flag,2013,galneryus,"yes, i could find the meaning of established flag
and then i'm able to move outside with my intuition from you
i only believe myself but don't wanna say more
good-bye to my past and to my darkness
look around and feel the freedom
fight against the darkness on me
overturn my obedience and my life along with my iron heart
there's no fear, no hesitation
reach to the sky
let the flag raise again don't look back
go my way
surely i can find the key
reach to the sky
let the flag raise again don't lie to my heart
on my way
i can change my life once again
my body has been threatened by something wrong again
i have little bit of fear certainly but i don't care anything
there is my faith stronger than my weakness and i do have mind that wanna go to the future
and my soul is still burning
enduring the sleepless night
and thinking everything in few hours
a i accept your suffering and sorrow
into my iron heart
there's no fear, no hesitation
reach to the sky
let the flag raise again don't look back
go my way
surely i can find the key
reach to the sky
let the flag raise again don't lie to my heart
on my way
i can change my life once again
wanna be stronger than yesterday
wanna be brighter than before
tomorrow is waiting for me surely
now i'm breaking my cage
fly to the other side
look around and feel the freedom
fight against the darkness on me
overturn my obedience and my life along with my iron heart
there's no fear, no hesitation
reach to the sky
let the flag raise again don't look back
go my way
surely i can find the key
reach to the sky
let the flag raise again don't lie to my heart
on my way
i can change my life once again
reach to the sky
let the flag raise again don't lie to my heart
go my way
surely i can find the key
reach to the sky
let the flag raise again don't lie to my heart
on my way
i can change my life again!
once again!!
go my way!!!"
silent-revelation,2010,galneryus,"there's something dangerous in the night
you'll beware
follow the sign that comes in deep from your heart
now i just feel the fire of steel
my soul is burning hard
taking a chance to fight for freedom you want
falling down to silent ground
get away, now it's my time to make a change
bright of steel that cuts my eyes
make my day, now i just ready to go
breaking the tyrant's rule
shake the world like a dog of war
taking a chance to fight for freedom you want
falling down to silent ground
get away, now it's my time to make a change
bright of steel that cuts my eyes
make my day, now i just ready to go
spark is the last scene you'll see
my sword bring you the end of your life
your blood is spreading on the floor
it's like silent revelation
falling down to silent round
get away, now it's my time to make a change
bright of steel that cuts my eyes
make my day, now i just ready to go
spark is the last scene you'll see
my sword bring you the end of your life
your blood is spreading on the floor
it's like silent revelation
falling down to silent ground
get away, now it's my time to make a change
bright of steel that cuts my eyes
make my day, now i just ready to go
spark is the last scene you'll see
my sword bring you the end of your life
your blood is spreading on the floor
it's like silent revelation"
struggle-for-the-freedom-flag,2010,galneryus,"see the blood of our friends that sticking to us
rising out of the sea of sorrow
there's nothing to loose anymore
we will be fighting till we get hold of our victory
oh my sword leads us to the castle where the evil lies
the sacrifice was big, but we became stronger
we get hold of glory again
on the road, we will defeat our enemy even if we'll become the dust
the armors protect our body and departed souls protect our mind
now the time, we'll break through the gate of steel
into perdition
struggle for freedom, it's our rule
see the fire of steel that calling on us
oh, my sword blaze up
we are children of this battlefield
the sacrifice was big, but we became stronger
we get hold of glory again
on the road, we will defeat our enemy even if we'll become the dust
the armors protect our body and departed souls protect our mind
now the time, we'll break through the gate of steel
into perdition
struggle for freedom, it's our rule
no one can stop the force that shatters the dark
rolling like thunder and run through like lightning
the sacrifice was big, but we became stronger
we get hold of glory again
on the road, we will defeat our enemy even if we'll become the dust
the armors protect our body and departed souls protect our mind
now the time, we'll break through the gate of steel
into perdition
struggle for freedom, it's our rule"
burn-my-heart,2010,galneryus,"i will tell you the story of the surprise on that day
i will tell why i am doing so
i did not expect a thing
and it's a wonderful thing for my way of life
he said, ""do you wanna touch the star?
do you wanna shine more than ever?""
i said, ""i wanna do so by all meanings.""
i thought such a chance was rare
i got excited very much
at that time...
i didn't hesitate to make up my mind
now i feel the change slowly but surely
oh! can i catch the star like everyone else?
i know i should 'cause i wanna get it
ready? fly high!
burn my heart into eternity
satisfy everyone--that's the mission to myself
burn my fear--oh, i'll never return to the past
get your soul, take your soul
let's blaze up at this time
what will i be able to do? i am still looking for that
it's like a treasure hunt it's not easy
it is waiting in the other side
anyway, i should hurry up
i remember...
getting over many difficulties in the past
but this time is more serious for me
oh! can i catch the star like everyone else?
i know i should 'cause i wanna get it
ready? fly high!
burn my heart into eternity
satisfy myself--that's the mission to myself
burn my fear--oh, i'll never return to the past
get your soul, take your soul
let's blaze up at this time
at that time...
i didn't hesitate to make up my mind
now i feel the change slowly but surely
oh! can i catch the star like everyone else?
i know i should 'cause i wanna get it
ready? fly high!
burn my heart into eternity
satisfy everyone--that's the mission to myself
burn my fear--oh, i'll never return to the past
get your soul, take your soul
let's blaze up at this time
burn my heart into eternity
satisfy myself--that's the mission to myself
burn my fear--oh, i'll never return to the past
get you soul, take your soul
let's blaze up at this time
ah!
you and i will always believe the fate
let's heat up together and follow me
i will satisfy you, i promise it to you
get your soul, take your soul
let's show our soul...
blaze up now!"
destiny,2011,galneryus,"destiny is calling you, passing through your edge of heart
we're not a loss anymore, and look up your future...
oh, yeah!
mou mayou koto nado nai
nayami tsudzukeru koto mo nai
miageta sono toki, subete ni kidzuita
ima made no ayamachi wo
jibun wo miushinaisou ni naru koto nante, mou nai hazu
jada hitotsu no onaji hoshi wo miteru
destiny is calling you, passing through your edge of heart
we're not a loss anymore, and look up your future
and surely, we'll unite once again
we're filled with power
don't lose the past
gone with the steel
mou nigeru koto nado nai
kakae tsudzukeru mono mo nai
miageta sono toki, subete ni kidzuita
ima made no ayamachi wo
jibun wo miushinaisou ni naru koto nante, mou nai hazu
tada hitotsu no onaji hoshi wo miteru
destiny is calling you, passing through your edge of heart
we're not a loss anymore, and look up your future
and surely, we'll unite once again
we're filled with power
don't lose the past
gone with the steel
ima ni mou kaesou datta hikari yo, mou ichido michibike
tada hitotsu no onaji hoshi wo miteru
destiny is calling you, passing through your edge of heart
we're not a loss anymore, and look up your future
and surely, we'll unite once again
we're filled with power
don't lose the past
gone with the steel
destiny is calling you, but you don't believe it
keeper of the resurrection is standing alone
and surely, we'll unite once again with strong faith
live to survive, live for my life
just like... those stars!"
still-loving-you,2011,galneryus,"wonder why you left on that night
wonder what you thought at that time
what can i do? have i lost you?
what should i do? have i lost you?
the season passes early for me
something is lost from my body
crazy about you, love you from my heart
still loving you, love you from my heart
i regret my very happy days
memories are fading away
i feel the night and days
somebody said, ""you must forget...""
but i cannot do yet
it's cold in my bed
oh, there is no woman meant more than you
i wanna meet wanna touch
do you hear this prayer of me?
i thought that love with you was forever
i miss you, we'll surely meet in the future
i don't know where and with whom you live now
it is not in my mind
now all of you are not mine
i thought that love with you was forever
i miss you, we'll surely meet in the future
and i wish this pain would go
there is your shadow
somebody said, ""you must forget...""
but i cannot do yet
it's cold in my bed
oh, there is no woman meant more than you
i wanna meet wanna touch
do you hear this prayer of me?
i thought that love with you was forever
i miss you, we'll surely meet in the future
i don't know where and with whom you live now
it is not in my mind
now all of you are not mine
i thought that love with you was forever
i miss you, we'll surely meet in the future"
the-wind-blows,2011,galneryus,"the sky is so bright and i'm standing alone
i was parted from you and i'm walking alone
i know it's not from you but i'll pick up the phone
i was parted from you and i'm on sandstone
i feel very lonely
i miss you
my only mistake is that i let you go on that day
wander around looking for you night and day
but i can never find you i find the memories of you
the memories of that day are fading away
the wind blows against my heart i'm looking for you
i wanted to detain you but you said ""goodbye""
i was parted from you and so i asked you ""why?""
you have a tender heart and you have gentle eyes
i was parted from you and now i always sigh
i feel very lonely
i miss you
my only mistake is that i let you go on that day
i remember the night with you i saw a vision
though i can never find you i find the memories of you
the good old days that we spent were the fiction?
the wind blows against my heart i'm looking for you
wander around looking for you night and day
but i can never find you i find the memories of you
the memories of that day are fading away
the wind blows against my heart i'm looking for you
i remember the night with you i saw a vision
though i can never find you i find the memories of you
the good old days that we spent were the fiction?
the wind blows against my heart i'm looking for you"
t-f-f-b,2011,galneryus,"when i'm sad, i remember you
when you are sad, what can i do?
i've met you and i knew the joy
i want you to feel a lot of joy
even if a wind blows, you must not lose
you look good with a smile than tears
at anytime, i offer words of cheer
i keep my promise, never lose, ah-!
""trust"" it can change our lives and support your life
""fate"" you can see the matter in the correct light
we keep believing our future world
it was getting to be daylight
i wanna know what you expect
i want you to know what i expect
i've met you and i knew the fun
i want you to feel a lot of fun
even if you hesitate, you must not lose
you have an important thing
at anytime, you are looking so good
i keep my promise, never loose, ah-!
""faith"" it makes our bonds strong and support your life
""blessed"" you will be always given it and it's your life
we keep believing our future world
it was getting to be daylight
""trust"" it can change our lives and support your life
""fate"" you can see the matter in the correct light
we keep believing our future world
it was getting to be daylight"
new-legend,2011,galneryus,"hear the voice of the world
time is calling me
i will see the new legend in the heat
i'm searching for the break in the moonlight
trying to escape the dark, it's my mission
can't you see?
feel a hunger burning deep inside
i'm a devil fighting with my spells
my voice will take me to the sky
i must win through in this cruel game
i will see the new legend in the heat
do you have the means of keeping your life?
trying to escape the dark, it's my mission
can't you see?
feel a hunger burning deep inside
i'm a devil fighting with my spells
my voice will take me to the sky
break out!"
